Name,E1098 t12 c2 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100,0.00443
99.33099,0.10532
98.15325,0.3096
96.7992,0.55279
95.3453,0.80249
93.81545,1.06676
92.22288,1.30949
90.59352,1.56925
88.95519,1.83184
87.31705,2.09634
85.67756,2.36312
84.03647,2.63204
82.39469,2.90274
80.75239,3.17494
79.10903,3.44834
77.46479,3.72237
75.82114,3.99622
74.18,4.26901
72.54272,4.53996
70.90992,4.80829
69.2818,5.07313
67.65843,5.33359
66.03985,5.58878
64.42618,5.83763
62.81775,6.07824
61.21553,6.30895
59.62268,6.52852
58.04477,6.73527
56.48675,6.926
54.94836,7.09768
53.42426,7.24835
51.90693,7.3776
50.38853,7.48575
48.86059,7.57398
47.31592,7.64411
45.75211,7.69753
44.17266,7.73473
42.58377,7.75601
40.99015,7.76156
39.39443,7.75108
37.79788,7.72473
36.20121,7.68289
34.60478,7.62613
33.00915,7.55476
31.41548,7.46897
29.82538,7.36896
28.24019,7.25461
26.6607,7.12576
25.08765,6.98221
23.52227,6.82369
21.96641,6.65021
20.42242,6.46133
18.89294,6.2567
17.38091,6.03583
15.88925,5.79915
14.42066,5.54514
12.97713,5.26964
11.55987,4.97151
10.17323,4.65211
8.82728,4.31413
7.53485,3.95903
6.30769,3.58872
5.17064,3.20857
4.15956,2.83137
3.28614,2.46522
2.53788,2.11184
1.92647,1.78666
1.45795,1.50801
1.1015,1.27039
0.82023,1.0589
0.59046,0.8625
0.40244,0.67701
0.2552,0.50784
0.14486,0.357
0.06514,0.22616
0.01642,0.10699
-0.00002,-0.00708
0.01973,-0.12359
0.08133,-0.24378
0.1916,-0.36676
0.35411,-0.49218
0.56934,-0.61821
0.83239,-0.74736
1.14931,-0.88418
1.53863,-1.02905
2.02562,-1.18807
2.64293,-1.36977
3.42164,-1.57571
4.37642,-1.8006
5.51427,-2.0377
6.81157,-2.27789
8.21903,-2.50985
9.69049,-2.72546
11.20579,-2.9235
12.75266,-3.10385
14.32112,-3.26728
15.90427,-3.41727
17.49843,-3.5578
19.10149,-3.68483
20.71193,-3.79895
22.32842,-3.9006
23.94933,-3.99018
25.57291,-4.06777
27.1979,-4.13351
28.82379,-4.18747
30.4504,-4.22973
32.07716,-4.26039
33.7029,-4.27938
35.32532,-4.28622
36.94029,-4.28034
38.5423,-4.26104
40.12786,-4.22705
41.69866,-4.17673
43.26113,-4.10848
44.82342,-4.02183
46.39294,-3.91675
47.97638,-3.79298
49.57929,-3.65136
51.20383,-3.49448
52.84769,-3.3266
54.50553,-3.15112
56.17241,-2.9705
57.84473,-2.78702
59.51985,-2.60172
61.19532,-2.41485
62.86881,-2.2265
64.53838,-2.03981
66.20301,-1.85687
67.86274,-1.67821
69.51834,-1.50439
71.17053,-1.33589
72.81966,-1.17323
74.46574,-1.01695
76.10866,-0.86758
77.74827,-0.72567
79.38437,-0.5918
81.01672,-0.46661
82.645,-0.35073
84.26876,-0.24483
85.88719,-0.14967
87.49901,-0.066
89.10221,0.00515
90.6934,0.06273
92.26755,0.10557
93.81633,0.14804
95.32696,0.13912
96.77558,0.12876
98.12344,0.09755
99.31427,0.04731
100,0.00443
